Topology,Cores,Switches,Links,PROGRAM,L,ALPHA,TASK_MSG_START,Average Link Length,Average Wire Width,Total Wire Width,Total Wire Cost,Average Wire Cost,Total Schedule Size,Total Memory,Average Memory,Average Latency,Max Latency,Total Utilization,Total Lag
mesh, , , ,All2All, , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
mesh,16,16,24,All2All, , , ,1,13.8333,664,664,13.8333, ,186,11.625,3.12903, , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
mesh,256,256,480,All2All, , , ,1, , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
fattree,27,54,81,All2All, , , ,1.53402,6.91975,1121, , , ,391,7.24074,5.23089, , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
fattree, , , ,All2All, , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
clos,16,25,24,All2All, , , ,2.47252,18.6667,896, , , ,319,12.76,4.05873, , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
KaryNfly,16,28,32,All2All, , , ,1.85439,15.4063,986, , , ,438,15.6429,4.41647, , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
KaryNfly, , , ,All2All, , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
random,16,16,29,All2All, , , ,2.24039,8.41379,488, , , ,108,6.75,2.27379, , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
benesh,16,36,48,All2All, , , ,1.23626,13.4063,1287, , , ,468,13,5.84615, , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
KaryNflyTree,8,20,24,All2All, , , ,1.00324,15.0208,721, , , ,256,12.8, , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
